통계연월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202406,서울특별시,종로구,지체,심한 장애,431
202406,서울특별시,종로구,시각,심한 장애,174
202406,서울특별시,종로구,청각,심한 장애,185
202406,서울특별시,종로구,언어,심한 장애,20
202406,서울특별시,종로구,지적,심한 장애,381
202406,서울특별시,종로구,뇌병변,심한 장애,286
202406,서울특별시,종로구,자폐성,심한 장애,122
202406,서울특별시,종로구,정신,심한 장애,240
202406,서울특별시,종로구,신장,심한 장애,200
202406,서울특별시,종로구,심장,심한 장애,8
202406,서울특별시,종로구,호흡기,심한 장애,25
202406,서울특별시,종로구,간,심한 장애,2
202406,서울특별시,종로구,안면,심한 장애,4
202406,서울특별시,종로구,장루.요루,심한 장애,3
202406,서울특별시,종로구,뇌전증,심한 장애,5
202406,서울특별시,종로구,지체,심하지 않은 장애,1882
202406,서울특별시,종로구,시각,심하지 않은 장애,487
202406,서울특별시,종로구,청각,심하지 않은 장애,769
202406,서울특별시,종로구,언어,심하지 않은 장애,24
202406,서울특별시,종로구,뇌병변,심하지 않은 장애,248
202406,서울특별시,종로구,정신,심하지 않은 장애,7
202406,서울특별시,종로구,신장,심하지 않은 장애,71
202406,서울특별시,종로구,심장,심하지 않은 장애,6
202406,서울특별시,종로구,호흡기,심하지 않은 장애,1
202406,서울특별시,종로구,간,심하지 않은 장애,41
202406,서울특별시,종로구,안면,심하지 않은 장애,4
202406,서울특별시,종로구,장루.요루,심하지 않은 장애,36
202406,서울특별시,종로구,뇌전증,심하지 않은 장애,9
202406,서울특별시,중구,지체,심한 장애,418
202406,서울특별시,중구,시각,심한 장애,173
202406,서울특별시,중구,청각,심한 장애,182
202406,서울특별시,중구,언어,심한 장애,18
202406,서울특별시,중구,지적,심한 장애,307
202406,서울특별시,중구,뇌병변,심한 장애,266
202406,서울특별시,중구,자폐성,심한 장애,88
202406,서울특별시,중구,정신,심한 장애,205
202406,서울특별시,중구,신장,심한 장애,176
202406,서울특별시,중구,심장,심한 장애,14
202406,서울특별시,중구,호흡기,심한 장애,29
202406,서울특별시,중구,간,심한 장애,1
202406,서울특별시,중구,안면,심한 장애,7
202406,서울특별시,중구,장루.요루,심한 장애,6
202406,서울특별시,중구,뇌전증,심한 장애,5
202406,서울특별시,중구,지체,심하지 않은 장애,1883
202406,서울특별시,중구,시각,심하지 않은 장애,472
202406,서울특별시,중구,청각,심하지 않은 장애,719
202406,서울특별시,중구,언어,심하지 않은 장애,11
202406,서울특별시,중구,뇌병변,심하지 않은 장애,261
202406,서울특별시,중구,정신,심하지 않은 장애,3
202406,서울특별시,중구,신장,심하지 않은 장애,71
202406,서울특별시,중구,심장,심하지 않은 장애,2
202406,서울특별시,중구,호흡기,심하지 않은 장애,1
202406,서울특별시,중구,간,심하지 않은 장애,34
202406,서울특별시,중구,안면,심하지 않은 장애,2
202406,서울특별시,중구,장루.요루,심하지 않은 장애,37
202406,서울특별시,중구,뇌전증,심하지 않은 장애,11
202406,서울특별시,용산구,지체,심한 장애,487
202406,서울특별시,용산구,시각,심한 장애,171
202406,서울특별시,용산구,청각,심한 장애,224
202406,서울특별시,용산구,언어,심한 장애,33
202406,서울특별시,용산구,지적,심한 장애,518
202406,서울특별시,용산구,뇌병변,심한 장애,340
202406,서울특별시,용산구,자폐성,심한 장애,148
202406,서울특별시,용산구,정신,심한 장애,243
202406,서울특별시,용산구,신장,심한 장애,263
202406,서울특별시,용산구,심장,심한 장애,11
202406,서울특별시,용산구,호흡기,심한 장애,48
202406,서울특별시,용산구,간,심한 장애,2
202406,서울특별시,용산구,안면,심한 장애,1
202406,서울특별시,용산구,장루.요루,심한 장애,6
202406,서울특별시,용산구,뇌전증,심한 장애,4
202406,서울특별시,용산구,지체,심하지 않은 장애,2292
202406,서울특별시,용산구,시각,심하지 않은 장애,668
202406,서울특별시,용산구,청각,심하지 않은 장애,911
202406,서울특별시,용산구,언어,심하지 않은 장애,19
202406,서울특별시,용산구,뇌병변,심하지 않은 장애,339
202406,서울특별시,용산구,정신,심하지 않은 장애,9
202406,서울특별시,용산구,신장,심하지 않은 장애,89
202406,서울특별시,용산구,심장,심하지 않은 장애,4
202406,서울특별시,용산구,호흡기,심하지 않은 장애,2
202406,서울특별시,용산구,간,심하지 않은 장애,63
202406,서울특별시,용산구,안면,심하지 않은 장애,2
202406,서울특별시,용산구,장루.요루,심하지 않은 장애,51
202406,서울특별시,용산구,뇌전증,심하지 않은 장애,13
202406,서울특별시,성동구,지체,심한 장애,762
202406,서울특별시,성동구,시각,심한 장애,184
202406,서울특별시,성동구,청각,심한 장애,311
202406,서울특별시,성동구,언어,심한 장애,41
202406,서울특별시,성동구,지적,심한 장애,704
202406,서울특별시,성동구,뇌병변,심한 장애,538
202406,서울특별시,성동구,자폐성,심한 장애,259
202406,서울특별시,성동구,정신,심한 장애,398
202406,서울특별시,성동구,신장,심한 장애,382
202406,서울특별시,성동구,심장,심한 장애,26
202406,서울특별시,성동구,호흡기,심한 장애,71
202406,서울특별시,성동구,간,심한 장애,2
202406,서울특별시,성동구,안면,심한 장애,5
202406,서울특별시,성동구,장루.요루,심한 장애,8
