통계연월,통계시도명,통계시군구명,장애정도,성별,등록장애인수
202210,서울특별시,종로구,심한 장애,남자,1272
202210,서울특별시,종로구,심한 장애,여자,880
202210,서울특별시,종로구,심하지 않은 장애,남자,2082
202210,서울특별시,종로구,심하지 않은 장애,여자,1580
202210,서울특별시,중구,심한 장애,남자,1154
202210,서울특별시,중구,심한 장애,여자,759
202210,서울특별시,중구,심하지 않은 장애,남자,2016
202210,서울특별시,중구,심하지 않은 장애,여자,1586
202210,서울특별시,용산구,심한 장애,남자,1610
202210,서울특별시,용산구,심한 장애,여자,1092
202210,서울특별시,용산구,심하지 않은 장애,남자,2765
202210,서울특별시,용산구,심하지 않은 장애,여자,2133
202210,서울특별시,성동구,심한 장애,남자,2295
202210,서울특별시,성동구,심한 장애,여자,1487
202210,서울특별시,성동구,심하지 않은 장애,남자,4108
202210,서울특별시,성동구,심하지 않은 장애,여자,3197
202210,서울특별시,광진구,심한 장애,남자,2517
202210,서울특별시,광진구,심한 장애,여자,1737
202210,서울특별시,광진구,심하지 않은 장애,남자,4471
202210,서울특별시,광진구,심하지 않은 장애,여자,3389
202210,서울특별시,동대문구,심한 장애,남자,3210
202210,서울특별시,동대문구,심한 장애,여자,2035
202210,서울특별시,동대문구,심하지 않은 장애,남자,5728
202210,서울특별시,동대문구,심하지 않은 장애,여자,4428
202210,서울특별시,중랑구,심한 장애,남자,4442
202210,서울특별시,중랑구,심한 장애,여자,2974
202210,서울특별시,중랑구,심하지 않은 장애,남자,7258
202210,서울특별시,중랑구,심하지 않은 장애,여자,5474
202210,서울특별시,성북구,심한 장애,남자,3607
202210,서울특별시,성북구,심한 장애,여자,2480
202210,서울특별시,성북구,심하지 않은 장애,남자,6313
202210,서울특별시,성북구,심하지 않은 장애,여자,4979
202210,서울특별시,강북구,심한 장애,남자,3741
202210,서울특별시,강북구,심한 장애,여자,2647
202210,서울특별시,강북구,심하지 않은 장애,남자,5996
202210,서울특별시,강북구,심하지 않은 장애,여자,4762
202210,서울특별시,도봉구,심한 장애,남자,3242
202210,서울특별시,도봉구,심한 장애,여자,2192
202210,서울특별시,도봉구,심하지 않은 장애,남자,5525
202210,서울특별시,도봉구,심하지 않은 장애,여자,4191
202210,서울특별시,노원구,심한 장애,남자,6714
202210,서울특별시,노원구,심한 장애,여자,4827
202210,서울특별시,노원구,심하지 않은 장애,남자,7867
202210,서울특별시,노원구,심하지 않은 장애,여자,7013
202210,서울특별시,은평구,심한 장애,남자,5104
202210,서울특별시,은평구,심한 장애,여자,3110
202210,서울특별시,은평구,심하지 않은 장애,남자,7547
202210,서울특별시,은평구,심하지 않은 장애,여자,5930
202210,서울특별시,서대문구,심한 장애,남자,2541
202210,서울특별시,서대문구,심한 장애,여자,1804
202210,서울특별시,서대문구,심하지 않은 장애,남자,4213
202210,서울특별시,서대문구,심하지 않은 장애,여자,3612
202210,서울특별시,마포구,심한 장애,남자,2797
202210,서울특별시,마포구,심한 장애,여자,2037
202210,서울특별시,마포구,심하지 않은 장애,남자,4385
202210,서울특별시,마포구,심하지 않은 장애,여자,3517
202210,서울특별시,양천구,심한 장애,남자,3729
202210,서울특별시,양천구,심한 장애,여자,2487
202210,서울특별시,양천구,심하지 않은 장애,남자,6415
202210,서울특별시,양천구,심하지 않은 장애,여자,4811
202210,서울특별시,강서구,심한 장애,남자,7006
202210,서울특별시,강서구,심한 장애,여자,4774
202210,서울특별시,강서구,심하지 않은 장애,남자,9375
202210,서울특별시,강서구,심하지 않은 장애,여자,7098
202210,서울특별시,구로구,심한 장애,남자,3910
202210,서울특별시,구로구,심한 장애,여자,2586
202210,서울특별시,구로구,심하지 않은 장애,남자,6965
202210,서울특별시,구로구,심하지 않은 장애,여자,4874
202210,서울특별시,금천구,심한 장애,남자,2502
202210,서울특별시,금천구,심한 장애,여자,1608
202210,서울특별시,금천구,심하지 않은 장애,남자,4443
202210,서울특별시,금천구,심하지 않은 장애,여자,2960
202210,서울특별시,영등포구,심한 장애,남자,3017
202210,서울특별시,영등포구,심한 장애,여자,1837
202210,서울특별시,영등포구,심하지 않은 장애,남자,5646
202210,서울특별시,영등포구,심하지 않은 장애,여자,4048
202210,서울특별시,동작구,심한 장애,남자,3026
202210,서울특별시,동작구,심한 장애,여자,2103
202210,서울특별시,동작구,심하지 않은 장애,남자,5140
